#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
liquidmethane                                     ([no block])                                                                     = Liquid Methane
liquidnitrogen                                    ([no block])                                                                     = Liquid Nitrogen
nitrogen                                          ([no block])                                                                     = Nitrogen Gas
carbondioxide                                     ([no block])                                                                     = CO2 Gas
argon                                             ([no block])                                                                     = Argon Gas
liquidargon                                       ([no block])                                                                     = Liquid Argon
helium                                            ([no block])                                                                     = Helium Gas
sulphuricacid                                     (galacticraftplanets:sulphuric_acid)                                             = Sulphuric Acid
binnie.growth.medium                              (genetics:binnie.growth.medium)                                                  = Growth Medium
binnie.bacteria                                   (genetics:binnie.bacteria)                                                       = Bacteria
binnie.bacteria.poly                              (genetics:binnie.bacteria.poly)                                                  = Polymerising Bacteria
binnie.dna.raw                                    (genetics:binnie.dna.raw)                                                        = Raw DNA
binnie.bacteria.vector                            (genetics:binnie.bacteria.vector)                                                = Bacteria Vector
binnie.sap                                        (extratrees:binnie.sap)                                                          = Sap
binnie.resin                                      (extratrees:binnie.resin)                                                        = Resin
binnie.latex                                      (extratrees:binnie.latex)                                                        = Latex
binnie.turpentine                                 (extratrees:binnie.turpentine)                                                   = Turpentine
binnie.juice.apple                                (extratrees:binnie.juice.apple)                                                  = Apple Juice
binnie.juice.apricot                              (extratrees:binnie.juice.apricot)                                                = Apricot Juice
binnie.juice.banana                               (extratrees:binnie.juice.banana)                                                 = Banana Juice
binnie.juice.cherry                               (extratrees:binnie.juice.cherry)                                                 = Cherry Juice
binnie.juice.elderberry                           (extratrees:binnie.juice.elderberry)                                             = Elderberry Juice
binnie.juice.lemon                                (extratrees:binnie.juice.lemon)                                                  = Lemon Juice
binnie.juice.lime                                 (extratrees:binnie.juice.lime)                                                   = Lime Juice
binnie.juice.orange                               (extratrees:binnie.juice.orange)                                                 = Orange Juice
binnie.juice.peach                                (extratrees:binnie.juice.peach)                                                  = Peach Juice
binnie.juice.plum                                 (extratrees:binnie.juice.plum)                                                   = Plum Juice
binnie.juice.carrot                               (extratrees:binnie.juice.carrot)                                                 = Carrot Juice
binnie.juice.tomato                               (extratrees:binnie.juice.tomato)                                                 = Tomato Juice
binnie.juice.cranberry                            (extratrees:binnie.juice.cranberry)                                              = Cranberry Juice
binnie.juice.grapefruit                           (extratrees:binnie.juice.grapefruit)                                             = Grapefruit Juice
binnie.juice.olive                                (extratrees:binnie.juice.olive)                                                  = Olive Oil
binnie.juice.pineapple                            (extratrees:binnie.juice.pineapple)                                              = Pineapple Juice
binnie.juice.pear                                 (extratrees:binnie.juice.pear)                                                   = Pear Juice
binnie.juice.white.grape                          (extratrees:binnie.juice.white.grape)                                            = White Grape Juice
binnie.juice.red.grape                            (extratrees:binnie.juice.red.grape)                                              = Red Grape Juice
binnie.cider.apple                                (extratrees:binnie.cider.apple)                                                  = Cider
binnie.wine.apricot                               (extratrees:binnie.wine.apricot)                                                 = Apricot Wine
binnie.wine.banana                                (extratrees:binnie.wine.banana)                                                  = Banana Wine
binnie.wine.cherry                                (extratrees:binnie.wine.cherry)                                                  = Cherry Wine
binnie.wine.elderberry                            (extratrees:binnie.wine.elderberry)                                              = Elderberry Wine
binnie.cider.peach                                (extratrees:binnie.cider.peach)                                                  = Peach Cider
binnie.ciderpear                                  (extratrees:binnie.ciderpear)                                                    = Pear Cider
binnie.wine.plum                                  (extratrees:binnie.wine.plum)                                                    = Plum Wine
binnie.wine.carrot                                (extratrees:binnie.wine.carrot)                                                  = Carrot Wine
binnie.wine.white                                 (extratrees:binnie.wine.white)                                                   = White Wine
binnie.wine.red                                   (extratrees:binnie.wine.red)                                                     = Red Wine
binnie.wine.sparkling                             (extratrees:binnie.wine.sparkling)                                               = Sparkling Wine
binnie.wine.agave                                 (extratrees:binnie.wine.agave)                                                   = Agave Wine
binnie.fermented.potatoes                         (extratrees:binnie.fermented.potatoes)                                           = Fermented Potatoes
binnie.wine.citrus                                (extratrees:binnie.wine.citrus)                                                  = Citrus Wine
binnie.wine.cranberry                             (extratrees:binnie.wine.cranberry)                                               = Cranberry Wine
binnie.wine.pineapple                             (extratrees:binnie.wine.pineapple)                                               = Pineapple Wine
binnie.wine.tomato                                (extratrees:binnie.wine.tomato)                                                  = Tomato Wine
binnie.juice                                      (extratrees:binnie.juice)                                                        = Fruit Wine
binnie.beer.ale                                   (extratrees:binnie.beer.ale)                                                     = Ale
binnie.beer.lager                                 (extratrees:binnie.beer.lager)                                                   = Lager
binnie.beer.wheat                                 (extratrees:binnie.beer.wheat)                                                   = Wheat Beer
binnie.beer.rye                                   (extratrees:binnie.beer.rye)                                                     = Rye Beer
binnie.beer.corn                                  (extratrees:binnie.beer.corn)                                                    = Corn Beer
binnie.beer.stout                                 (extratrees:binnie.beer.stout)                                                   = Stout
binnie.mash.grain                                 (extratrees:binnie.mash.grain)                                                   = Fermented Grain Mash
binnie.mash.wheat                                 (extratrees:binnie.mash.wheat)                                                   = Fermented Wheat Mash
binnie.mash.rye                                   (extratrees:binnie.mash.rye)                                                     = Fermented Rye Mash
binnie.mash.corn                                  (extratrees:binnie.mash.corn)                                                    = Fermented Corn Mash
binnie.spirit.neutral                             (extratrees:binnie.spirit.neutral)                                               = Neutral Spirit
binnie.vodka                                      (extratrees:binnie.vodka)                                                        = Vodka
binnie.rum.white                                  (extratrees:binnie.rum.white)                                                    = White Rum
binnie.rum.dark                                   (extratrees:binnie.rum.dark)                                                     = Dark Rum
binnie.whiskey                                    (extratrees:binnie.whiskey)                                                      = Whiskey
binnie.whiskey.corn                               (extratrees:binnie.whiskey.corn)                                                 = Bourbon
binnie.whiskey.rye                                (extratrees:binnie.whiskey.rye)                                                  = Rye Whiskey
binnie.whiskey.wheat                              (extratrees:binnie.whiskey.wheat)                                                = Wheat Whiskey
binnie.wine.fortified                             (extratrees:binnie.wine.fortified)                                               = Fortified Wine
binnie.tequila                                    (extratrees:binnie.tequila)                                                      = Tequila
binnie.brandy.grape                               (extratrees:binnie.brandy.grape)                                                 = Brandy
binnie.brandy.apple                               (extratrees:binnie.brandy.apple)                                                 = Apple Brandy
binnie.brandy.pear                                (extratrees:binnie.brandy.pear)                                                  = Pear Brandy
binnie.brandy.apricot                             (extratrees:binnie.brandy.apricot)                                               = Apricot Brandy
binnie.brandy.plum                                (extratrees:binnie.brandy.plum)                                                  = Plum Brandy
binnie.brandy.cherry                              (extratrees:binnie.brandy.cherry)                                                = Cherry Brandy
binnie.brandy.elderberry                          (extratrees:binnie.brandy.elderberry)                                            = Elderberry Brandy
binnie.brandy.citrus                              (extratrees:binnie.brandy.citrus)                                                = Citrus Brandy
binnie.brandy.fruit                               (extratrees:binnie.brandy.fruit)                                                 = Fruit Brandy
binnie.spirit.sugarcane                           (extratrees:binnie.spirit.sugarcane)                                             = Cachaca
binnie.spirit.gin                                 (extratrees:binnie.spirit.gin)                                                   = Gin
binnie.liquor.apple                               (extratrees:binnie.liquor.apple)                                                 = Apple Liquor
binnie.liquor.pear                                (extratrees:binnie.liquor.pear)                                                  = Pear Liquor
binnie.liquor.cherry                              (extratrees:binnie.liquor.cherry)                                                = Cherry Liquor
binnie.liquor.elderberry                          (extratrees:binnie.liquor.elderberry)                                            = Elderberry Liquor
binnie.liquor.apricot                             (extratrees:binnie.liquor.apricot)                                               = Apricot Liquor
binnie.liquor.fruit                               (extratrees:binnie.liquor.fruit)                                                 = Fruit Liquor
binnie.liqueur.almond                             (extratrees:binnie.liqueur.almond)                                               = Almond Liqueur
binnie.liqueur.orange                             (extratrees:binnie.liqueur.orange)                                               = Orange Liqueur
binnie.liqueur.banana                             (extratrees:binnie.liqueur.banana)                                               = Banana Liqueur
binnie.liqueur.chocolate                          (extratrees:binnie.liqueur.chocolate)                                            = Chocolate Liqueur
binnie.liqueur.mint                               (extratrees:binnie.liqueur.mint)                                                 = Mint Liqueur
binnie.liqueur.hazelnut                           (extratrees:binnie.liqueur.hazelnut)                                             = Hazelnut Liqueur
binnie.liqueur.cinnamon                           (extratrees:binnie.liqueur.cinnamon)                                             = Cinnamon Liqueur
binnie.liqueur.coffee                             (extratrees:binnie.liqueur.coffee)                                               = Coffee Liqueur
binnie.liqueur.melon                              (extratrees:binnie.liqueur.melon)                                                = Melon Liqueur
binnie.liqueur.anise                              (extratrees:binnie.liqueur.anise)                                                = Anise Liqueur
binnie.liqueur.peach                              (extratrees:binnie.liqueur.peach)                                                = Peach Liqueur
binnie.liqueur.lemon                              (extratrees:binnie.liqueur.lemon)                                                = Lemon Liqueur
binnie.liqueur.herbal                             (extratrees:binnie.liqueur.herbal)                                               = Herbal Liqueur
binnie.liqueur.cherry                             (extratrees:binnie.liqueur.cherry)                                               = Cherry Liqueur
binnie.liqueur.blackcurrant                       (extratrees:binnie.liqueur.blackcurrant)                                         = Blackcurrant Liqueur
binnie.liqueur.blackberry                         (extratrees:binnie.liqueur.blackberry)                                           = Blackberry Liqueur
binnie.liqueur.raspberry                          (extratrees:binnie.liqueur.raspberry)                                            = Raspberry Liqueur
witchwater                                        (exnihilocreatio:witchwater)                                                     = Witchwater
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
liquidethanemethane                               (galaxyspace:block_liquidethanemethane)                                          = Liquid Ethane-Methane
helium3                                           (galaxyspace:block_helium3)                                                      = Helium-3
ethane                                            (galaxyspace:block_ethane)                                                       = Ethane
heliumhydrogen                                    (galaxyspace:block_heliumhydrogen)                                               = Liquid Helium-Hydrogen
mutagen                                           (gendustry:mutagen)                                                              = Mutagen
liquiddna                                         (gendustry:liquiddna)                                                            = Liquid DNA
protein                                           (gendustry:protein)                                                              = Protein
oliveoil                                          (rustic:olive_oil)                                                               = Olive Oil
ironberryjuice                                    (rustic:ironberry_juice)                                                         = Ironberry Juice
wildberryjuice                                    (rustic:wildberry_juice)                                                         = Wildberry Juice
grapejuice                                        (rustic:grape_juice)                                                             = Grape Juice
applejuice                                        (rustic:apple_juice)                                                             = Apple Juice
alewort                                           (rustic:ale_wort)                                                                = Ale Wort
ale                                               ([no block])                                                                     = Ale
cider                                             ([no block])                                                                     = Cider
ironwine                                          ([no block])                                                                     = Iron Wine
mead                                              ([no block])                                                                     = Mead
wildberrywine                                     ([no block])                                                                     = Wildberry Wine
wine                                              ([no block])                                                                     = Wine
fluid_honey                                       (growthcraft_bees:fluid_honey)                                                   = Honey
fluid_booze_mead_young                            (growthcraft_bees:fluid_mead_mead_young)                                         = Mead Must
fluid_booze_mead_fermented                        (growthcraft_bees:fluid_mead_mead_fermented)                                     = Mead
fluid_booze_mead_potent                           (growthcraft_bees:fluid_mead_mead_potent)                                        = Potent Mead
fluid_booze_mead_extended                         (growthcraft_bees:fluid_mead_mead_extended)                                      = Extended Mead
fluid_booze_mead_ethereal                         (growthcraft_bees:fluid_mead_mead_ethereal)                                      = Magical Mead
fluid_booze_mead_intoxicated                      (growthcraft_bees:fluid_mead_mead_intoxicated)                                   = Intoxicated Mead
fluid_booze_mead_poisoned                         (growthcraft_bees:fluid_mead_mead_poisoned)                                      = Mead
fluid_booze_mead_hyperextended                    (growthcraft_bees:fluid_mead_mead_hyperextended)                                 = Hyper-Extended Mead
fluid_milk                                        (growthcraft_milk:fluid_milk)                                                    = Milk
fluid_butter_milk                                 (growthcraft_milk:fluid_butter_milk)                                             = Butter Milk
fluid_cream                                       (growthcraft_milk:fluid_cream)                                                   = Cream
fluid_milk_curds                                  (growthcraft_milk:fluid_milk_curds)                                              = Milk Curds
fluid_rennet                                      (growthcraft_milk:fluid_rennet)                                                  = Rennet
fluid_skim_milk                                   (growthcraft_milk:fluid_skim_milk)                                               = Skim Milk
fluid_whey                                        (growthcraft_milk:fluid_whey)                                                    = Whey
fluid_pasteurized_milk                            (growthcraft_milk:fluid_pasteurized_milk)                                        = Pasteurized Milk
fluid_booze_kumis_kumis_fermented                 (growthcraft_milk:fluid_kumisbooze_kumis_fermented)                              = Kumis Fermented
fluid_booze_kumis_kumis_potent                    (growthcraft_milk:fluid_kumisbooze_kumis_potent)                                 = Kumis Potent
fluid_booze_kumis_kumis_extended                  (growthcraft_milk:fluid_kumisbooze_kumis_extended)                               = Kumis Extended
fluid_booze_kumis_kumis_hyperextended             (growthcraft_milk:fluid_kumisbooze_kumis_hyperextended)                          = Kumis Hyper-Extended
fluid_booze_kumis_kumis_potent_extended           (growthcraft_milk:fluid_kumisbooze_kumis_potent_extended)                        = Kumis Potent Extended
fluid_booze_kumis_kumis_potent_hyperextended      (growthcraft_milk:fluid_kumisbooze_kumis_potent_hyperextended)                   = Kumis Potent Hyper-Extended
fluid_booze_kumis_kumis_poisoned                  (growthcraft_milk:fluid_kumisbooze_kumis_poisoned)                               = Kumis
fluid_cheese_ricotta                              (growthcraft_milk:fluid_cheese_ricotta)                                          = Ricotta Cheese
fluid_cheese_gorgonzola                           (growthcraft_milk:fluid_cheese_gorgonzola)                                       = Gorgonzola Cheese
fluid_cheese_emmentaler                           (growthcraft_milk:fluid_cheese_emmentaler)                                       = Emmental Cheese
fluid_cheese_appenzeller                          (growthcraft_milk:fluid_cheese_appenzeller)                                      = Appenzeller Cheese
fluid_cheese_asiago                               (growthcraft_milk:fluid_cheese_asiago)                                           = Asiago Cheese
fluid_cheese_parmesan                             (growthcraft_milk:fluid_cheese_parmesan)                                         = Parmesan Cheese
fluid_cheese_casu_marzu                           (growthcraft_milk:fluid_cheese_casu_marzu)                                       = fluid.fluid_cheese_casu_marzu
fluid_cheese_cheddar                              (growthcraft_milk:fluid_cheese_cheddar)                                          = Cheddar Cheese
fluid_cheese_monterey                             (growthcraft_milk:fluid_cheese_monterey)                                         = Monterey Cheese
fluid_cheese_gouda                                (growthcraft_milk:fluid_cheese_gouda)                                            = Gouda Cheese
fluid_cheese_provolone                            (growthcraft_milk:fluid_cheese_provolone)                                        = Provolone Cheese
fluid_booze_apple_juice                           (growthcraft_apples:fluid_applecider_apple_juice)                                = Apple Juice
